Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"A Velasco, J Aponte",Automated fine grained traceability links recovery between high level requirements and source code implementations,2020,ParadigmPlus,journals.itiud.org,http://journals.itiud.org/index.php/paradigmplus/article/view/12,"https://scholar.google.com/scholar?cites=7045048318081614236&as_sdt=2005&sciodt=0,5&hl=en",25,08/02/2022 12:39,,,,,,,,,4,2,2,2,2,… alternatives to recover lost traceability links in coarse-… traceability algorithm designed to recover traces between high level requirements written in natural language and source code …,https://journals.itiud.org/index.php/paradigmplus/article/download/12/8,"https://scholar.google.com/scholar?q=related:nMG3eB4KxWEJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
3,OS Dawood,Toward Requirements and Design Traceability Using Natural Language Processing,2018,European Journal of Engineering and Technology …,ejers.org,https://www.ejers.org/index.php/ejers/article/view/807,"https://scholar.google.com/scholar?cites=10081493484148893004&as_sdt=2005&sciodt=0,5&hl=en",26,08/02/2022 12:39,,,,,,,,,3,0.75,3,1,4,… generated using (NLP) and design build rules. From Fig. 1 the traceability can be done at … Describing trace direction between requirements and other software artefacts as shown in …,https://www.ejers.org/index.php/ejers/article/download/807/318,"https://scholar.google.com/scholar?q=related:TCUc6Oio6IsJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
2,M Singh,Using Natural Language Processing and Graph Mining to Explore Inter-Related Requirements in Software Artefacts,2019,ACM SIGSOFT Software Engineering Notes,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3310013.3310018,"https://scholar.google.com/scholar?cites=15243304100170511669&as_sdt=2005&sciodt=0,5&hl=en",27,08/02/2022 12:39,,10.1145/3310013.3310018,,,,,,,2,0.67,2,1,3,"… Software engineering researchers also applied SA [8] to automate the software traceability to generate traceability links during software development. A similar work by Dit et al., [14] …",,"https://scholar.google.com/scholar?q=related:NTXrDVEYi9MJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
6,"I Rubasinghe, D Meedeniya…",Traceability management with impact analysis in DevOps based software development,2018,… Conference on Advances …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8554399/,"https://scholar.google.com/scholar?cites=13078581575853376746&as_sdt=2005&sciodt=0,5&hl=en",28,08/02/2022 12:39,,,,,,,,,6,1.5,2,3,4,"… traceability within requirements, design, source code and testing phase of the DevOps practices. Moreover, the established traceability … them using Natural Language Processing (NLP), …",https://www.researchgate.net/profile/Dulani-Meedeniya/publication/329397748_Traceability_Management_with_Impact_Analysis_in_DevOps_based_Software_Development/links/5c6beac692851c1c9deae122/Traceability-Management-with-Impact-Analysis-in-DevOps-based-Software-Development.pdf,"https://scholar.google.com/scholar?q=related:6oS1YqZ0gLUJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
1,"M Alobaidi, K Mahmood",Semantic approach for traceability link recovery using uniform resource identifier (STURI),2015,Proceedings of the International …,search.proquest.com,https://search.proquest.com/openview/42b7a3de3166c209bacdb03c249e130f/1?pq-origsite=gscholar&cbl=1976341,"https://scholar.google.com/scholar?cites=12586679774259797640&as_sdt=2005&sciodt=0,5&hl=en",30,08/02/2022 12:39,,,,,,,,,1,0.14,1,2,7,"… which creates traceability links between source code and … modeling the domains of source code and software documents… and text mining, and finally establishing traceability links …",,"https://scholar.google.com/scholar?q=related:iF5ZTpHerK4J:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
4,"D Kchaou, N Bouassida, M Mefteh…",Recovering semantic traceability between requirements and design for change impact analysis,2019,Innovations in Systems …,Springer,https://link.springer.com/article/10.1007/s11334-019-00330-w,"https://scholar.google.com/scholar?cites=11114676229712234608&as_sdt=2005&sciodt=0,5&hl=en",32,08/02/2022 12:39,,10.1007/s11334-019-00330-w,,,,,,,4,1.33,1,4,3,"… traceability modeling between several software artifacts in the software life cycle. This paper proposes a traceability … ], which is a natural language processing technique that relies on the …",,"https://scholar.google.com/scholar?q=related:cMh5kSRDP5oJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
0,"Z Pauzi, A Capiluppi","Extracting and Comparing Concepts Emerging from Software Code, Documentation and Tests",2021,,ceur-ws.org,http://ceur-ws.org/Vol-3071/paper1.pdf,,33,08/02/2022 12:39,PDF,,,,,,,,0,0,0,2,1,"… re-establishing traceability links between software artifacts, … Major advancement in NLP research in recent years has … context of the traceability between source code, documentation and …",http://ceur-ws.org/Vol-3071/paper1.pdf,"https://scholar.google.com/scholar?q=related:TgMsKbB-DWsJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
3,"X Chen, J Hosking, J Grundy, R Amor",DCTracVis: a system retrieving and visualizing traceability links between source code and documentation,2018,Automated Software Engineering,Springer,https://link.springer.com/article/10.1007/s10515-018-0243-8,"https://scholar.google.com/scholar?cites=6211922331886629325&as_sdt=2005&sciodt=0,5&hl=en",35,08/02/2022 12:39,,10.1007/s10515-018-0243-8,,,,,,,3,0.75,1,4,4,… It is well recognized that traceability links between software artifacts … traceability systems to date have been faced with two major open research challenges: how to extract traceability …,https://nzjohng.github.io/publications/papers/ase2018-1.pdf,"https://scholar.google.com/scholar?q=related:zTFr3HIuNVYJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
1,"K Mahmood, M Alobaidi…",Autonomous decentralized semantic based traceability link recovery framework,2016,IEICE TRANSACTIONS on …,search.ieice.org,https://search.ieice.org/bin/summary.php?id=e99-d_9_2283,"https://scholar.google.com/scholar?cites=14546919762456778874&as_sdt=2005&sciodt=0,5&hl=en",36,08/02/2022 12:39,,,,,,,,,1,0.17,0,3,6,"… This approach has four phases: building ontologies, modeling the domains of source code … ontologies through code analysis and text mining, and finally establishing traceability links …",https://www.jstage.jst.go.jp/article/transinf/E99.D/9/E99.D_2016EDP7018/_pdf,"https://scholar.google.com/scholar?q=related:ephYeXMK4ckJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
8,"J Guo, JC Huang",Ontology learning and its application in software-intensive projects,2016,Proceedings of the 38th International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2889160.2889264,"https://scholar.google.com/scholar?cites=1389387707203282350&as_sdt=2005&sciodt=0,5&hl=en",38,08/02/2022 12:39,,10.1145/2889160.2889264,,,,,,,8,1.33,4,2,6,"… Trace link creation requires an analyst to examine the … as a software requirement and a source code class, in order to … leveraging traceability data and utilizing web-mining, NLP and …",,"https://scholar.google.com/scholar?q=related:rmUlJ8IYSBMJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
3,"R Tsuchiya, K Nishikawa, H Washizaki…",Recovering transitive traceability links among various software artifacts for developers,2019,… on Information and …,search.ieice.org,https://search.ieice.org/bin/summary.php?id=e102-d_9_1750,"https://scholar.google.com/scholar?cites=16466298705560981182&as_sdt=2005&sciodt=0,5&hl=en",40,08/02/2022 12:39,,,,,,,,,3,1,1,4,3,"… We adopted VSM as the NLP technique to calculate textual similarity because it is the most common approach adopted as basic technology in many previous methods. Moreover, there …",https://www.jstage.jst.go.jp/article/transinf/E102.D/9/E102.D_2018EDP7331/_pdf,"https://scholar.google.com/scholar?q=related:vs5vNm4LhOQJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
2,"R Lapeña, F Pérez, C Cetina, O Pastor",Improving traceability links recovery in process models through an ontological expansion of requirements,2019,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-21290-2_17,"https://scholar.google.com/scholar?cites=8668470468155742810&as_sdt=2005&sciodt=0,5&hl=en",41,08/02/2022 12:39,,10.1007/978-3-030-21290-2_17,,,,,,,2,0.67,1,4,3,"… Natural Language Processing (NLP) techniques to process the requirement and the ontology. The NLP techniques unify the language of the software artifacts, … the NLP techniques taken …",https://riunet.upv.es/bitstream/handle/10251/179838/LapenaPerezCetina%20-%20Improving%20Traceability%20Links%20Recovery%20in%20Process%20Models%20Through%20an%20Ontologica....pdf?sequence=3,"https://scholar.google.com/scholar?q=related:WhpjmPaXTHgJ:scholar.google.com/&scioq=%22nlp%22%7C%22natural+language+processing%22%7C%22text+mining%22%7C%22text+extracting%22+%22traceability%22%7C%22trace+link%22+%22source+code%22%7C%22software+code%22%7C%22software+artifacts%22%7C%22software+artefacts%22&hl=en&as_sdt=0,5&as_ylo=2014&as_yhi=2022"
